дхритараштрах увача  Z царь Дхритараштра сказал
притхактвена  Z отдельностью
 ту  Z но
 йат  Z которое
 джнанам  Z знание
 нана-бхаван  Z разнообразные состояния
 притхак-видхан  Z различные
 ветти  Z знает
 сарвешу  Z во всех
 бхутешу  Z живых существах
 тат  Z то
 джнанам  Z знание
 виддхи  Z знай
 раджасам  Z относящееся к гуне страсти
йат  Z которое
 ту  Z но
 критсна-ват  Z как бы полном
 экасмин  Z в одном
 карйе  Z виде деятельности
 сактам  Z связанное
 ахаитукам  Z беспричинное
 ататтва-Артха-ват  Z как бы без знания о реальности
 алпам  Z очень скудное
 ча  Z и
 тат  Z то
 тамасам  Z относящееся к гуне тьмы
 удахритам  Z называемое
нийатам  Z упорядоченная
 санга-рахитам  Z лишенная привязанности
 арага-двешатах  Z без любви или ненависти
 критам  Z выполняемая
 апхала-препсуна  Z человеком, который не стремится насладиться ее плодами
 карма  Z деятельность
 йат  Z которая
 тат  Z та
 саттвикам  Z относящаяся к гуне благости
 учйате  Z называется
йат  Z которая
 ту  Z но
 кама-ипсуна  Z тем, кто стремится к результатам
 карма  Z деятельность
 са-аханкарена  Z с ложным эго
 ва  Z или
 пунах  Z вновь
 крийате  Z совершается
 бахула-айасам  Z (совершаемая) с великим трудом
 тат  Z та
 раджасам  Z относящаяся к гуне страсти
 удахритам  Z называемая
анубандхам  Z рабство в будущем
 кшайам  Z разрушительная
 химсам  Z страдание, причиненное другим
 анапекшйа  Z без учета (ее последствий)
